=== Dry-run duplicate merge report (case-insensitive exact-name duplicates) ===
No data is modified. This report recommends keep/drop ids and estimates conflict risk.
 rank |       normalized_name        | group_size |               keep_id                |          keep_name           |               drop_id                |          drop_name           | keep_recipe_refs | drop_recipe_refs | keep_price_rows | drop_price_rows | keep_has_bls | drop_has_bls | keep_has_nutrition | drop_has_nutrition | keep_nutrition_nonzero_fields | drop_nutrition_nonzero_fields | price_conflicts | recipe_conflicts | unit_conflicts | impact_score | risk_score | risk_level 
   64 | leberkäse                    |          2 | fea764ac-6115-57d5-8009-60009244a00b | Leberkäse                    | 5ca301e8-c800-58ae-913f-133a9ab14493 | leberkäse                    |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   65 | lebertran                    |          2 | 23d0166f-08c2-500d-9a89-d594c842c707 | lebertran                    | 4751c140-69c6-5057-906e-5a360c230c06 | Lebertran                    |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   66 | lebkuchen                    |          2 | 49457bd5-14c1-52ea-adc0-6c466529d5b3 | Lebkuchen                    | 7607cf2c-41ba-5a9d-80fc-7a6faecc83a5 | lebkuchen                    |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   67 | leinöl                       |          2 | db8de774-e65d-5f96-b9cb-302a7aadb294 | leinöl                       | acee8311-442e-5036-be0c-99c10f1f9bc9 | Leinöl                       |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   68 | leinsamen                    |          2 | 0df1e537-57e9-57d7-82a5-7585e50d14f0 | Leinsamen                    | 2ab6593a-a542-585a-b617-7621eda2f53f | leinsamen                    |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   69 | liebstöckel                  |          2 | 2dfe3e0f-0072-5e4b-9e7a-945201584ac8 | Liebstöckel                  | ad76328d-fdfd-51ee-b890-41cff1bc0597 | liebstöckel                  |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   70 | loganbeere                   |          2 | c4e90b89-9971-5190-8b5a-2134cd95f66d | loganbeere                   | 57e65884-304c-56f4-99a3-7e1e2e9267e1 | Loganbeere                   |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   71 | makronen                     |          2 | e4294bed-c3ed-56cc-be95-d6d5bb4c49de | Makronen                     | 5d109efd-1c9a-56bf-908d-a86eca2bf1e1 | makronen                     |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   72 | malzbier                     |          2 | 7e072958-8722-503c-8379-2092e35a67d8 | malzbier                     | 39652d65-1dad-50fd-baa7-3129d4018a3a | Malzbier                     |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   73 | mandarine                    |          2 | a13f9d89-6124-5a45-b7f1-0d1baa12abf0 | Mandarine                    | 886cc342-000a-5cf8-b1b5-05820059d54b | mandarine                    |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   74 | mandelmus                    |          2 | 431b1573-f54f-5761-bc9e-dc05da68f73f | mandelmus                    | f5acc298-9cd9-5be2-b548-76653f845429 | Mandelmus                    |                1 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   75 | meerrettich                  |          2 | 84891994-593a-50f3-a83f-5ae0458aff1b | meerrettich                  | 19c257ce-61d2-55bb-86fa-7d859ade4477 | Meerrettich                  |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   76 | mispel                       |          2 | 0e1219de-f73a-5cea-9286-2d81672b33f1 | mispel                       | 2994c3b9-2485-5702-897a-3edc1a942c9b | Mispel                       |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   77 | mohn                         |          2 | 5828833a-cdf4-5e5e-85df-43884a3f0094 | Mohn                         | bf410a82-2345-5c05-a6ba-725b0196982f | mohn                         |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   78 | morchel                      |          2 | 349adfc7-8d14-5786-915e-dbe57681a0ee | morchel                      | 278cc375-84d5-58d9-b2ae-42ebc4ab4a58 | Morchel                      |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
